,time,rate
org.apache.avro.data.RecordBuilderBaseTest.testIsValidValueWithNullField,0.001,0.006038647342995169
org.apache.avro.data.RecordBuilderBaseTest.testIsValidValueWithPrimitives,0.099,0.00966183574879227
org.apache.avro.data.RecordBuilderBaseTest.testIsValidValueWithUnion,0.001,0.013285024154589372
org.apache.avro.data.TestTimeConversions.testDateConversion,0.001,0.004830917874396135
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithDateConversion,0.005,0.027777777777777776
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithDateTimeConversion,0.001,0.025362318840579712
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithDateTimeMicrosConversion,0.001,0.025362318840579712
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithTimeConversion,0.001,0.025362318840579712
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithTimeMicrosConversion,0.001,0.025362318840579712
org.apache.avro.data.TestTimeConversions.testTimeMicrosConversion,0.001,0.0036231884057971015
org.apache.avro.data.TestTimeConversions.testTimeMillisConversion,0.001,0.0036231884057971015
org.apache.avro.data.TestTimeConversions.testTimestampMicrosConversion,0.001,0.014492753623188406
org.apache.avro.data.TestTimeConversions.testTimestampMillisConversion,0.001,0.0036231884057971015
org.apache.avro.generic.TestGenericConcreteEnum.testGenericWriteAndRead,0.001,0.34057971014492755
org.apache.avro.generic.TestGenericConcreteEnum.testGenericWriteSpecificRead,0.009,0.33816425120772947
org.apache.avro.generic.TestGenericData.testArrayAddAtLocation,0.001,0.025362318840579712
org.apache.avro.generic.TestGenericData.testArrayConstructorNullSchema,0.001,0.0024154589371980675
org.apache.avro.generic.TestGenericData.testArrayConstructorWrongSchema,0.001,0.0036231884057971015
org.apache.avro.generic.TestGenericData.testArrayListInterface,0.001,0.027777777777777776
org.apache.avro.generic.TestGenericData.testArrayRemove,0.001,0.033816425120772944
org.apache.avro.generic.TestGenericData.testArrayReversal,0.001,0.030193236714975844
org.apache.avro.generic.TestGenericData.testArraySet,0.001,0.026570048309178744
org.apache.avro.generic.TestGenericData.testByteBufferDeepCopy,0.001,0.057971014492753624
