,time,rate
org.apache.avro.data.RecordBuilderBaseTest.testIsValidValueWithNullField,0.001,0.006009615384615385
org.apache.avro.data.RecordBuilderBaseTest.testIsValidValueWithPrimitives,0.081,0.009615384615384616
org.apache.avro.data.RecordBuilderBaseTest.testIsValidValueWithUnion,0.001,0.013221153846153846
org.apache.avro.data.TestTimeConversions.testDateConversion,0.001,0.004807692307692308
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithDateConversion,0.004,0.027644230769230768
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithDateTimeConversion,0.001,0.025240384615384616
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithDateTimeMicrosConversion,0.001,0.025240384615384616
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithTimeConversion,0.001,0.025240384615384616
org.apache.avro.data.TestTimeConversions.testDynamicSchemaWithTimeMicrosConversion,0.001,0.025240384615384616
org.apache.avro.data.TestTimeConversions.testTimeMicrosConversion,0.001,0.003605769230769231
org.apache.avro.data.TestTimeConversions.testTimeMillisConversion,0.001,0.003605769230769231
org.apache.avro.data.TestTimeConversions.testTimestampMicrosConversion,0.001,0.014423076923076924
org.apache.avro.data.TestTimeConversions.testTimestampMillisConversion,0.001,0.003605769230769231
org.apache.avro.generic.TestGenericConcreteEnum.testGenericWriteAndRead,0.001,0.34134615384615385
org.apache.avro.generic.TestGenericConcreteEnum.testGenericWriteSpecificRead,0.007,0.3389423076923077
org.apache.avro.generic.TestGenericData.testArrayAddAtLocation,0.001,0.025240384615384616
org.apache.avro.generic.TestGenericData.testArrayConstructorNullSchema,0.001,0.002403846153846154
org.apache.avro.generic.TestGenericData.testArrayConstructorWrongSchema,0.001,0.003605769230769231
org.apache.avro.generic.TestGenericData.testArrayListInterface,0.001,0.027644230769230768
org.apache.avro.generic.TestGenericData.testArrayRemove,0.001,0.03365384615384615
org.apache.avro.generic.TestGenericData.testArrayReversal,0.001,0.030048076923076924
org.apache.avro.generic.TestGenericData.testArraySet,0.001,0.026442307692307692
org.apache.avro.generic.TestGenericData.testByteBufferDeepCopy,0.001,0.057692307692307696
org.apache.avro.generic.TestGenericData.testCompare,0.001,0.056490384615384616
org.apache.avro.generic.TestGenericData.testEnumCompare,0.001,0.013221153846153846
org.apache.avro.generic.TestGenericData.testEquals,0.001,0.07091346153846154
org.apache.avro.generic.TestGenericData.testEquals2,0.001,0.016826923076923076
org.apache.avro.generic.TestGenericData.testGenericArrayPeek,0.001,0.03245192307692308
org.apache.avro.generic.TestGenericData.testHashCode,0.001,0.042067307692307696
org.apache.avro.generic.TestGenericData.testMapWithNonStringKeyToStringIsJson,0.001,0.08173076923076923
org.apache.avro.generic.TestGenericData.testRecordCreateEmptySchema,0.001,0.003605769230769231
org.apache.avro.generic.TestGenericData.testRecordGetFieldDoesntExist,0.001,0.009615384615384616
org.apache.avro.generic.TestGenericData.testRecordPutInvalidField,0.001,0.009615384615384616
org.apache.avro.generic.TestGenericData.testToStringDoesNotEscapeForwardSlash,0.001,0.021634615384615384
org.apache.avro.generic.TestGenericData.testToStringEscapesControlCharsInBytes,0.001,0.028846153846153848
org.apache.avro.generic.TestGenericData.testToStringEscapesControlCharsInMap,0.001,0.04326923076923077
org.apache.avro.generic.TestGenericData.testToStringFixed,0.001,0.02403846153846154
org.apache.avro.generic.TestGenericData.testToStringIsJson,0.001,0.07692307692307693
org.apache.avro.generic.TestGenericData.testToStringNanInfinity,0.001,0.021634615384615384
org.apache.avro.generic.TestGenericData.testToStringRecursive,0.001,0.0829326923076923
org.apache.avro.generic.TestGenericData.testToStringSameValues,0.006,0.12379807692307693
org.apache.avro.generic.TestGenericData.testValidateNullableEnum,0.001,0.03125
org.apache.avro.generic.TestGenericData.testValidateUnion,0.001,0.040865384615384616
org.apache.avro.generic.TestGenericData.testrecordConstructorNullSchema,0.001,0.002403846153846154
org.apache.avro.generic.TestGenericData.testrecordConstructorWrongSchema,0.001,0.003605769230769231
org.apache.avro.generic.TestGenericData.validateRequiresGenericSymbolForEnumSchema,0.001,0.015625
