,time,rate
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableRequestFieldsLines565To575,0.001,0.11377245508982035
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableSuccessFlagLines573To579,0.002,0.08582834331337326
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithHookFailureRollback,0.004,0.07984031936127745
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithHookSuccess,0.01,0.08582834331337326
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithNullEnvironmentContext,0.002,0.08183632734530938
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithNullValidWriteIds,0.001,0.08383233532934131
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithProcessorCapabilities,0.001,0.09780439121756487
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithValidWriteIds,0.001,0.11377245508982035
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithoutHookLoader,1.111,0.5129740518962076
org.apache.hadoop.hive.metastore.utils.RetryTest.testRetryFailure,0.001,0.013972055888223553
org.apache.hadoop.hive.metastore.utils.RetryTest.testRetryFailureWithDelay,0,0.013972055888223553
org.apache.hadoop.hive.metastore.utils.RetryTest.testRetryFailureWithDelayMoreThanTimeout,180.002,0.01996007984031936
org.apache.hadoop.hive.metastore.utils.RetryTest.testRetrySuccess,0,0.01996007984031936
org.apache.hadoop.hive.metastore.utils.RetryTest.testRetrySuccessWithDelay,89.99,0.021956087824351298
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsPartitionKeySeparatorLogic,0,0.13373253493013973
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithComplexPartitionTypes,0.053,0.38922155688622756
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithEmptyPartitionKeyName,0,0.13373253493013973
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithMultiplePartitionKeys,0,0.13373253493013973
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithNoPartitionKeys,0.001,0.09181636726546906
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithSinglePartitionKey,0.001,0.13373253493013973
