,time,rate
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableRequestFieldsLines565To575,0,0.11506276150627615
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableSuccessFlagLines573To579,0.001,0.08577405857740586
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithHookFailureRollback,0.002,0.0794979079497908
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithHookSuccess,0.008,0.08577405857740586
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithNullEnvironmentContext,0.001,0.08368200836820083
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithNullValidWriteIds,0.001,0.08368200836820083
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithProcessorCapabilities,0.001,0.09832635983263599
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithValidWriteIds,0.001,0.11506276150627615
org.apache.hadoop.hive.metastore.TestHiveMetaStoreClientAlterTable.testAlterTableWithoutHookLoader,1.093,0.5334728033472803
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsPartitionKeySeparatorLogic,0.001,0.13807531380753138
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithComplexPartitionTypes,0.053,0.40585774058577406
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithEmptyPartitionKeyName,0,0.13807531380753138
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithMultiplePartitionKeys,0,0.13807531380753138
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithNoPartitionKeys,0.001,0.09414225941422594
org.apache.hadoop.hive.metastore.utils.TestMetaStoreUtilsGetSchemaWithoutCols.testGetSchemaWithoutColsWithSinglePartitionKey,0,0.13807531380753138
